Player,Nation,Position,Age,Matches Played,Minutes,Goals,Assists,Penalty Goals Made,Yellow Cards,Red Cards,Progressive Carries,Progressive Passes,Goals Per 90,Assists Per 90,xG Per 90,xAG Per 90,High_Performer
Mohamed Salah,EGY,AT,32,38,313.0,29,18,9,1,0,154,144,0.77,0.48,0.67,0.38,1
Virgil van Dijk,NED,DF,33,37,313.0,3,1,0,5,0,22,198,0.08,0.03,0.06,0.02,1
Ryan Gravenberch,NED,MT,22,37,313.0,0,4,0,6,1,70,181,0.0,0.11,0.03,0.09,0
Alexis Mac Allister,ARG,MT,25,35,313.0,5,5,0,6,0,36,177,0.17,0.17,0.1,0.16,1
Ibrahima Konaté,FRA,DF,25,31,313.0,1,2,0,5,0,25,115,0.04,0.07,0.06,0.03,1
Dominik Szoboszlai,HUN,MT,23,36,313.0,6,6,0,6,0,72,131,0.22,0.22,0.27,0.27,1
Andrew Robertson,SCO,DF,30,33,313.0,0,1,0,3,1,64,176,0.0,0.04,0.04,0.17,0
Alisson,BRA,GB,31,28,313.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.02,0
Luis Díaz,COL,AT,27,36,313.0,13,5,0,2,0,108,110,0.49,0.19,0.45,0.19,1
Trent Alexander-Arnold,ENG,DF,25,33,313.0,3,6,0,5,0,51,232,0.11,0.23,0.07,0.28,1
Cody Gakpo,NED,AT,25,35,313.0,10,4,0,5,0,59,52,0.47,0.19,0.33,0.2,1
Curtis Jones,ENG,"MT,DF",23,33,313.0,3,3,0,3,1,30,117,0.16,0.16,0.23,0.06,1
Diogo Jota,POR,AT,27,26,313.0,6,3,0,2,0,37,34,0.45,0.23,0.6,0.14,1
Caoimhín Kelleher,IRL,GB,25,10,900.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Kostas Tsimikas,GRE,DF,28,18,837.0,0,1,0,2,0,17,76,0.0,0.11,0.04,0.23,0
Darwin Núñez,URU,AT,25,30,313.0,5,2,0,8,0,23,27,0.4,0.16,0.46,0.1,1
Conor Bradley,NIR,DF,21,19,754.0,0,2,0,4,0,35,33,0.0,0.24,0.08,0.17,0
Joe Gomez,ENG,DF,27,9,519.0,0,0,0,1,0,5,35,0.0,0.0,0.06,0.02,0
Jarell Quansah,ENG,DF,21,13,495.0,0,0,0,2,0,3,19,0.0,0.0,0.02,0.02,0
Harvey Elliott,ENG,MT,21,18,371.0,1,2,0,1,0,10,44,0.24,0.49,0.43,0.26,1
Wataru Endo,JPN,"MT,DF",31,20,273.0,0,0,0,0,0,1,19,0.0,0.0,0.0,0.02,0
Federico Chiesa,ITA,AT,26,6,108.0,0,0,0,0,0,3,3,0.0,0.0,0.28,0.15,0
Vitezslav Jaros,CZE,GB,23,1,12.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Jayden Danns,ENG,MT,18,1,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Mohamed Salah,EGY,AT,32,38,313.0,29,18,9,1,0,154,144,0.77,0.48,0.67,0.38,1
Virgil van Dijk,NED,DF,33,37,313.0,3,1,0,5,0,22,198,0.08,0.03,0.06,0.02,1
Ryan Gravenberch,NED,MT,22,37,313.0,0,4,0,6,1,70,181,0.0,0.11,0.03,0.09,0
Alexis Mac Allister,ARG,MT,25,35,313.0,5,5,0,6,0,36,177,0.17,0.17,0.1,0.16,1
Ibrahima Konaté,FRA,DF,25,31,313.0,1,2,0,5,0,25,115,0.04,0.07,0.06,0.03,1
Dominik Szoboszlai,HUN,MT,23,36,313.0,6,6,0,6,0,72,131,0.22,0.22,0.27,0.27,1
